# Occurrences: 591
# Removed    : 21
# Unique     : 146
!	12:18:58.167	MAIN	REMOVED	12:19:34.121
<	12:19:34.134	MAIN
!	12:19:34.144	MAIN
DOCTYPE	12:19:34.214	MAIN
html	12:19:34.264	MAIN
>	12:19:34.274	MAIN
<	12:19:34.294	MAIN
html	12:19:34.334	MAIN
lang	12:19:34.384	MAIN
=	12:19:34.394	MAIN
"	12:19:34.404	MAIN
en	12:19:34.424	MAIN
"	12:19:34.434	MAIN
>	12:19:34.444	MAIN
<	12:19:34.464	MAIN
head	12:19:34.504	MAIN
>	12:19:34.514	MAIN
<	12:19:34.534	MAIN
meta	12:19:34.574	MAIN
charset	12:19:34.654	MAIN
=	12:19:34.664	MAIN
"	12:19:34.674	MAIN
UTF	12:19:34.704	MAIN
-	12:19:34.714	MAIN
8	12:19:34.724	MAIN
"	12:19:34.734	MAIN
>	12:19:34.744	MAIN
<	12:19:34.764	MAIN
meta	12:19:34.804	MAIN
name	12:19:34.854	MAIN
=	12:19:34.864	MAIN
"	12:19:34.874	MAIN
viewport	12:19:34.954	MAIN
"	12:19:34.964	MAIN
content	12:19:35.044	MAIN
=	12:19:35.054	MAIN
"	12:19:35.064	MAIN
width	12:19:35.114	MAIN
=	12:19:35.124	MAIN
device	12:19:35.184	MAIN
-	12:19:35.194	MAIN
width	12:19:35.244	MAIN
,	12:19:35.254	MAIN
initial	12:19:35.334	MAIN
-	12:19:35.344	MAIN
scale	12:19:35.394	MAIN
=	12:19:35.404	MAIN
1	12:19:35.414	MAIN
.	12:19:35.424	MAIN
0	12:19:35.434	MAIN
"	12:19:35.444	MAIN
>	12:19:35.454	MAIN
<	12:19:35.474	MAIN
title	12:19:35.524	MAIN
>	12:19:35.534	MAIN
Document	12:19:35.614	MAIN	REMOVED	12:19:37.776
<	12:19:35.624	MAIN
/	12:19:35.634	MAIN
title	12:19:35.684	MAIN
>	12:19:35.694	MAIN
<	12:19:35.714	MAIN
/	12:19:35.724	MAIN
head	12:19:35.764	MAIN
>	12:19:35.774	MAIN
<	12:19:35.794	MAIN
body	12:19:35.834	MAIN
>	12:19:35.844	MAIN
<	12:19:35.874	MAIN
/	12:19:35.884	MAIN
body	12:19:35.924	MAIN
>	12:19:35.934	MAIN
<	12:19:35.954	MAIN
/	12:19:35.964	MAIN
html	12:19:36.004	MAIN
>	12:19:36.014	MAIN
QR	12:19:38.447	MAIN
Positioning	12:19:41.715	MAIN
<	12:21:29.340	MAIN
h1	12:21:29.653	MAIN
>	12:21:29.740	MAIN
<	12:21:30.346	MAIN
/	12:21:30.356	MAIN
h1	12:21:30.376	MAIN
>	12:21:30.386	MAIN
QR	12:21:30.856	MAIN
Positioning	12:21:32.906	MAIN
<	12:23:38.378	MAIN
link	12:23:39.280	MAIN
rel	12:23:45.117	MAIN
=	12:23:45.277	MAIN
"	12:23:45.703	MAIN
"	12:23:45.713	MAIN
stylesheet	12:23:47.522	MAIN
href	12:23:59.034	MAIN
=	12:23:59.297	MAIN
"	12:24:00.025	MAIN
"	12:24:00.035	MAIN
123456	12:24:02.680	MAIN
.	12:24:02.918	MAIN
css	12:24:03.855	MAIN
/	12:24:11.601	MAIN
>	12:24:11.796	MAIN
body	12:26:56.799	123456.css
{	12:26:57.145	123456.css
}	12:27:06.675	123456.css
display	12:27:07.966	123456.css
:	12:27:08.210	123456.css
flex	12:27:09.743	123456.css
;	12:27:09.906	123456.css
flex	12:27:13.701	123456.css
-	12:27:13.779	123456.css
direction	12:27:15.749	123456.css
:	12:27:15.907	123456.css
column	12:27:17.320	123456.css
;	12:27:17.516	123456.css
align	12:27:19.045	123456.css
-	12:27:19.350	123456.css
items	12:27:20.468	123456.css
:	12:27:20.704	123456.css
center	12:27:22.216	123456.css
;	12:27:22.424	123456.css
h1	12:27:39.150	123456.css
{	12:27:39.576	123456.css
}	12:27:40.523	123456.css
font	12:27:41.275	123456.css
-	12:27:41.570	123456.css
family	12:27:42.736	123456.css
:	12:27:42.937	123456.css
"	12:27:43.407	123456.css
Arial	12:27:44.328	123456.css
"	12:27:44.570	123456.css
;	12:27:44.802	123456.css
color	12:27:46.811	123456.css
:	12:27:47.037	123456.css
#	12:27:47.455	123456.css	REMOVED	12:41:57.547
280	12:27:48.049	123456.css	REMOVED	12:41:57.394
;	12:27:48.299	123456.css	REMOVED	12:41:57.027
<	12:29:08.369	MAIN
img	12:29:09.093	MAIN
src	12:29:10.227	MAIN
=	12:29:10.547	MAIN
"	12:29:12.686	MAIN
"	12:29:12.696	MAIN
map	12:29:13.651	MAIN
.	12:29:13.917	MAIN
jpg	12:29:15.026	MAIN	REMOVED	12:30:35.529
alt	12:29:16.466	MAIN
=	12:29:16.661	MAIN
"	12:29:17.027	MAIN
"	12:29:17.037	MAIN
map	12:29:21.747	MAIN
/	12:29:22.840	MAIN
>	12:29:23.153	MAIN
png	12:30:36.357	MAIN
id	12:31:25.626	MAIN
=	12:31:25.856	MAIN
"	12:31:26.515	MAIN
"	12:31:26.525	MAIN
map	12:31:27.486	MAIN
#	12:32:18.680	123456.css
map	12:32:19.755	123456.css
{	12:32:20.274	123456.css
}	12:32:35.009	123456.css
width	12:32:36.292	123456.css
:	12:32:36.649	123456.css
100	12:32:37.562	123456.css
%	12:32:37.735	123456.css
;	12:32:37.955	123456.css
background	12:32:53.868	123456.css	REMOVED	12:43:32.605
-	12:32:54.041	123456.css	REMOVED	12:43:32.606
color	12:32:55.010	123456.css	REMOVED	12:43:32.611
:	12:32:55.273	123456.css	REMOVED	12:43:32.612
red	12:32:56.163	123456.css	REMOVED	12:43:32.616
;	12:32:56.730	123456.css	REMOVED	12:43:32.617
margin	12:35:35.569	123456.css
:	12:35:35.579	123456.css
0	12:35:35.599	123456.css
;	12:35:35.609	123456.css
<	12:35:40.201	MAIN
div	12:35:40.865	MAIN
id	12:35:42.076	MAIN
=	12:35:42.324	MAIN
"	12:35:42.770	MAIN
"	12:35:42.780	MAIN
marker	12:35:44.425	MAIN
>	12:35:44.990	MAIN
<	12:35:45.108	MAIN
/	12:35:45.118	MAIN
div	12:35:45.148	MAIN
>	12:35:45.158	MAIN
#	12:36:08.726	123456.css
marker	12:36:09.957	123456.css
{	12:36:10.360	123456.css
}	12:36:17.541	123456.css
width	12:36:18.827	123456.css
:	12:36:19.115	123456.css
3vw	12:36:23.573	123456.css
;	12:36:25.789	123456.css
/	12:36:32.171	123456.css	COMMENT
*	12:36:32.435	123456.css	COMMENT
3	12:36:32.866	123456.css	COMMENT
%	12:36:33.083	123456.css	COMMENT
of	12:36:33.746	123456.css	COMMENT
the	12:36:34.810	123456.css	COMMENT
viewport	12:36:36.426	123456.css	COMMENT
width	12:36:37.730	123456.css	COMMENT
*	12:36:38.076	123456.css	COMMENT
/	12:36:38.354	123456.css	COMMENT
height	12:37:16.574	123456.css
:	12:37:16.693	123456.css
3vw	12:37:18.454	123456.css
;	12:37:19.456	123456.css
background	12:37:29.322	123456.css
-	12:37:29.578	123456.css
color	12:37:30.642	123456.css
:	12:37:30.747	123456.css
black	12:37:31.976	123456.css
;	12:37:32.154	123456.css
border	12:37:58.210	123456.css
-	12:37:58.480	123456.css
radius	12:37:59.488	123456.css
:	12:37:59.684	123456.css
50	12:38:00.274	123456.css
%	12:38:00.472	123456.css
;	12:38:00.710	123456.css
outline	12:38:33.154	123456.css
:	12:38:33.436	123456.css
5px	12:38:34.274	123456.css
solid	12:38:36.469	123456.css
lime	12:38:38.050	123456.css	REMOVED	12:42:25.825
;	12:38:38.336	123456.css	REMOVED	12:42:25.383
/	12:38:44.255	123456.css	COMMENT
*	12:38:44.494	123456.css	COMMENT
does	12:38:45.698	123456.css	COMMENT
not	12:38:46.439	123456.css	COMMENT
affect	12:38:48.021	123456.css	COMMENT
the	12:38:48.853	123456.css	COMMENT
size	12:38:49.927	123456.css	COMMENT
*	12:38:50.290	123456.css	COMMENT
/	12:38:50.647	123456.css	COMMENT
border	12:38:55.775	123456.css
:	12:38:55.983	123456.css
5px	12:38:56.840	123456.css
solid	12:38:57.986	123456.css
white	12:38:59.153	123456.css
;	12:38:59.359	123456.css
/	12:38:59.995	123456.css	COMMENT
*	12:39:00.836	123456.css	COMMENT
affects	12:39:02.560	123456.css	COMMENT
the	12:39:03.424	123456.css	COMMENT
size	12:39:04.375	123456.css	COMMENT
*	12:39:04.681	123456.css	COMMENT
/	12:39:04.955	123456.css	COMMENT
:	12:40:53.960	123456.css
root	12:40:54.816	123456.css
{	12:41:00.473	123456.css
}	12:41:02.034	123456.css
-	12:41:02.747	123456.css
-	12:41:03.057	123456.css
theme	12:41:04.838	123456.css
:	12:41:13.006	123456.css
#	12:41:14.043	123456.css
280	12:41:14.808	123456.css
;	12:41:15.160	123456.css
/	12:41:23.133	123456.css	COMMENT
*	12:41:23.330	123456.css	COMMENT
CSS	12:41:24.053	123456.css	COMMENT
variable	12:41:25.725	123456.css	COMMENT
*	12:41:26.123	123456.css	COMMENT
/	12:41:26.555	123456.css	COMMENT
var	12:41:59.152	123456.css
(	12:41:59.354	123456.css
-	12:42:00.189	123456.css
-	12:42:00.527	123456.css
theme	12:42:01.928	123456.css
)	12:42:02.226	123456.css
;	12:42:02.654	123456.css
var	12:42:26.709	123456.css
(	12:42:27.101	123456.css
-	12:42:28.230	123456.css
-	12:42:28.548	123456.css
theme	12:42:29.855	123456.css
)	12:42:30.228	123456.css
;	12:42:31.537	123456.css
position	12:44:00.909	123456.css
:	12:44:01.045	123456.css
absolute	12:44:03.220	123456.css
;	12:44:03.644	123456.css
top	12:44:05.651	123456.css
:	12:44:05.880	123456.css
0	12:44:06.443	123456.css
;	12:44:06.772	123456.css
left	12:44:08.033	123456.css
:	12:44:08.227	123456.css
0	12:44:08.691	123456.css
;	12:44:08.978	123456.css
transform	12:45:33.046	123456.css
:	12:45:33.314	123456.css
translate	12:45:34.855	123456.css
(	12:45:35.069	123456.css
-	12:45:35.321	123456.css
50	12:45:35.855	123456.css
%	12:45:36.123	123456.css
,	12:45:36.383	123456.css
-	12:45:36.755	123456.css
50	12:45:37.279	123456.css
%	12:45:37.687	123456.css
)	12:45:37.895	123456.css
;	12:45:38.251	123456.css
<	12:49:01.709	MAIN
div	12:49:01.739	MAIN
id	12:49:01.769	MAIN
=	12:49:01.779	MAIN
"	12:49:01.789	MAIN
mapContainer	12:49:01.909	MAIN
"	12:49:01.919	MAIN
>	12:49:01.929	MAIN
<	12:49:02.019	MAIN
